Index,LocID,Latitude,Longitude,MaxRunwayLen
1645,DEN,39.86166667,-104.6731667,16000
1520,VCV,34.59747222,-117.383,15050
2194,TTS,28.61488889,-80.69436111,15001
329,PKA,60.70291389,-161.7783083,15000
350,SXP,62.52041667,-164.8476444,15000
2144,LEE,28.82289722,-81.80841667,15000
3788,64I,38.63144167,-85.44341944,15000
7531,LAS,36.08004444,-115.1522333,14515
7722,JFK,40.63992778,-73.77869167,14511
7372,ABQ,35.03893056,-106.6082611,13793
8374,CSM,35.33983889,-99.2005,13503
11850,MWH,47.20858333,-119.3191389,13503
10981,AMA,35.21936111,-101.7059167,13502
1623,COS,38.80581389,-104.700775,13501
6259,07MT,48.42109444,-106.5277167,13500
10204,DFW,32.89723333,-97.03769444,13401
2138,57FA,28.208625,-81.11923056,13300
2181,MIA,25.79536111,-80.29011667,13016
7467,ROW,33.29986944,-104.5293972,13001
3234,ORD,41.97694167,-87.90815,13000
1371,LAX,33.94249722,-118.4080472,12923
7133,LNK,40.85088889,-96.75911111,12901
4267,FOE,38.95095,-95.66361389,12803
636,HSV,34.63719722,-86.77505556,12600
1399,MHV,35.05894444,-118.1506111,12503
1977,VQQ,30.21877778,-81.87716667,12503
481,ANC,61.17408333,-149.9981389,12400
2519,ATL,33.6367,-84.42786389,12390
2709,HNL,21.31781667,-157.9202278,12312
4232,SLN,38.79061111,-97.65222222,12301
9971,AUS,30.19452778,-97.669875,12250
1427,ONT,34.05601389,-117.6011889,12197
8222,LCK,39.81377778,-82.92780556,12102
4952,ME16,46.95042778,-67.88586111,12101
10293,ELP,31.80733333,-106.3763611,12020
2707,GUM,13.48395,-144.7971278,12017
571,BHM,33.56388889,-86.75230556,12007
2216,MCO,28.42938889,-81.309,12005
5084,DTW,42.21244444,-83.35338889,12003
11391,SLC,40.78839444,-111.9777722,12002
4328,CVG,39.04883889,-84.66781944,12001
10420,IAH,29.98443611,-95.34144167,12001
2200,SGJ,29.95925,-81.33973056,12000
2299,RSW,26.53616667,-81.75516667,12000
7479,9NM9,32.98954722,-106.9694694,12000
9272,PHL,39.87208333,-75.24066389,12000
12391,EZS,44.78730556,-88.56001389,12000
3702,FWA,40.97847222,-85.19516667,11981
11988,SEA,47.44988889,-122.3117778,11901
4376,SDF,38.17408611,-85.7365,11887
1486,SFO,37.61880556,-122.3754167,11870
7695,RME,43.2338,-75.407025,11820
7795,SWF,41.50411111,-74.10483333,11817
1201,MER,37.38048333,-120.5681861,11802
152,FAI,64.81535556,-147.8566583,11800
5234,OSC,44.45152778,-83.39416667,11800
7823,PBG,44.65094444,-73.46813889,11759
9383,BQN,18.49486111,-67.12944444,11702
721,BYH,35.96433333,-89.94394444,11602
1897,IAD,38.94744444,-77.45994444,11500
9274,PIT,40.49141667,-80.23269444,11500
10720,LBB,33.66366667,-101.8205556,11500
12777,CYVR,49.19472222,-123.1838889,11500
6591,ISO,35.33143056,-77.60883056,11498
1052,PHX,33.43427778,-112.0115833,11489
4898,BGR,44.80744444,-68.82813889,11440
7263,PSM,43.07794444,-70.82327778,11322
1477,MHR,38.55531111,-121.2972111,11301
3766,IND,39.71730556,-86.29463889,11200
9814,MEM,35.04241111,-89.97668056,11120
12691,CYYZ,43.67722222,-79.63055556,11120
12693,MYNN,25.03911389,-77.46636667,11107
9826,BNA,36.124475,-86.67818056,11030
5943,STL,38.74869722,-90.370025,11020
12680,MYGF,26.55868611,-78.69555278,11018
10387,AFW,32.99038611,-97.31944167,11010
5508,MSP,44.88197222,-93.22177778,11006
2218,SFB,28.77717778,-81.23491389,11002
2328,TPA,27.97547222,-82.53325,11002
12010,GEG,47.61902778,-117.5352222,11002
7565,RNO,39.49911111,-119.7681111,11001
9451,GSP,34.89567222,-82.21885833,11001
1418,SJC,37.36299444,-121.9286194,11000
2710,KOA,19.73876667,-156.0456306,11000
7328,EWR,40.69248056,-74.16868611,11000
8902,PDX,45.58870833,-122.5968694,11000
9379,RVR,18.24511111,-65.64342222,11000
1105,TUS,32.11606944,-110.9410139,10996
8100,DAY,39.90225278,-84.21941111,10901
1387,BFL,35.43386111,-119.0576667,10849
5798,MCI,39.29761111,-94.71388889,10801
4478,CWF,30.21058333,-93.14319444,10702
8297,ILN,39.42791667,-83.79211111,10701
8026,TOL,41.58681667,-83.80782778,10600
1383,MCC,38.66763889,-121.4006111,10599
